downloaded from Max Planck web site http://www.atmosphere.mpg.de/enid/2295 
on 3 March 2010 by S. Madronich
Structure:	O3
Name:	ozone
Author(Year):	Brion(1998)
Temperature:	295K
Wavelength range:	345-830nm(0.01nm)
Bibliography:

J. Brion, A. Chakir, J. Charbonnier, D. Daumont, C Parisse, and J. Malicet, "Absorption spectra measurements for the ozone molecule in the 350 - 830 nm region," J. Atmos. Chem. 30, 291-299 (1998).
Comments:

High-resolution (0.01 nm) data obtained by personal communication from J. Brion (Nov 1998).

345.00    6.94444e-22
345.01    6.89897e-22
345.02    6.84913e-22
345.03    6.80361e-22
345.04    6.75355e-22
345.05    6.69635e-22
345.06    6.64486e-22
345.07    6.61158e-22
345.08    6.57671e-22
345.09    6.54339e-22
345.10    6.50532e-22
345.11    6.47546e-22
345.12    6.44936e-22
345.13    6.41725e-22
345.14    6.38017e-22
345.15    6.34200e-22
345.16    6.32438e-22
345.17    6.31786e-22
345.18    6.31471e-22
345.19    6.29577e-22
345.20    6.28954e-22
345.21    6.29837e-22
345.22    6.29503e-22
345.23    6.29300e-22
345.24    6.27067e-22
345.25    6.25477e-22
345.26    6.23661e-22
345.27    6.23171e-22
345.28    6.22219e-22
345.29    6.19253e-22
345.30    6.17845e-22
345.31    6.17519e-22
345.32    6.18590e-22
345.33    6.18168e-22
345.34    6.17785e-22
345.35    6.18292e-22
345.36    6.17592e-22
345.37    6.20413e-22
345.38    6.22595e-22
345.39    6.24599e-22
345.40    6.26762e-22
345.41    6.29054e-22
345.42    6.30773e-22
345.43    6.34175e-22
345.44    6.37345e-22
345.45    6.42022e-22
345.46    6.46682e-22
345.47    6.53172e-22
345.48    6.59053e-22
345.49    6.64244e-22
345.50    6.71496e-22
345.51    6.76956e-22
345.52    6.82151e-22
345.53    6.89375e-22
345.54    6.96025e-22
345.55    7.02418e-22
345.56    7.08606e-22
345.57    7.16133e-22
345.58    7.22233e-22
345.59    7.27278e-22
345.60    7.31013e-22
345.61    7.33762e-22
345.62    7.36964e-22
345.63    7.39302e-22
345.64    7.40830e-22
345.65    7.42456e-22
345.66    7.42004e-22
345.67    7.42290e-22
345.68    7.40605e-22
345.69    7.39574e-22
345.70    7.37382e-22
345.71    7.36175e-22
345.72    7.33798e-22
345.73    7.30956e-22
345.74    7.28105e-22
345.75    7.25718e-22
345.76    7.21371e-22
345.77    7.18951e-22
345.78    7.14791e-22
345.79    7.10710e-22
345.80    7.07666e-22
345.81    7.04500e-22
345.82    7.02455e-22
345.83    6.98761e-22
345.84    6.93185e-22
345.85    6.87410e-22
345.86    6.82627e-22
345.87    6.76913e-22
345.88    6.72108e-22
345.89    6.68917e-22
345.90    6.64446e-22
345.91    6.59754e-22
345.92    6.56816e-22
345.93    6.52511e-22
345.94    6.45694e-22
345.95    6.39810e-22
345.96    6.33785e-22
345.97    6.28959e-22
345.98    6.24111e-22
345.99    6.18638e-22
346.00    6.15013e-22
346.01    6.10012e-22
346.02    6.05391e-22
346.03    6.01594e-22
346.04    5.97433e-22
346.05    5.92785e-22
346.06    5.87777e-22
346.07    5.83037e-22
346.08    5.80528e-22
346.09    5.77109e-22
346.10    5.75001e-22
346.11    5.73152e-22
346.12    5.71171e-22
346.13    5.68259e-22
346.14    5.65023e-22
346.15    5.62548e-22
346.16    5.61148e-22
346.17    5.58766e-22
346.18    5.55605e-22
346.19    5.52063e-22
346.20    5.50586e-22
346.21    5.49221e-22
346.22    5.48277e-22
346.23    5.47887e-22
346.24    5.48138e-22
346.25    5.48529e-22
346.26    5.47864e-22
346.27    5.47895e-22
346.28    5.47805e-22
346.29    5.48027e-22
346.30    5.48381e-22
346.31    5.48983e-22
346.32    5.48751e-22
346.33    5.48901e-22
346.34    5.48032e-22
346.35    5.46809e-22
346.36    5.46548e-22
346.37    5.45732e-22
346.38    5.44001e-22
346.39    5.42181e-22
346.40    5.40478e-22
346.41    5.37695e-22
346.42    5.35503e-22
346.43    5.33081e-22
346.44    5.30360e-22
346.45    5.26821e-22
346.46    5.23039e-22
346.47    5.18360e-22
346.48    5.15805e-22
346.49    5.14220e-22
346.50    5.12920e-22
346.51    5.10370e-22
346.52    5.07770e-22
346.53    5.05324e-22
346.54    5.02708e-22
346.55    5.00722e-22
346.56    5.00258e-22
346.57    4.98680e-22
346.58    4.95650e-22
346.59    4.92519e-22
346.60    4.87682e-22
346.61    4.85485e-22
346.62    4.81942e-22
346.63    4.78547e-22
346.64    4.76033e-22
346.65    4.72225e-22
346.66    4.67800e-22
346.67    4.64638e-22
346.68    4.61113e-22
346.69    4.59076e-22
346.70    4.56908e-22
346.71    4.55784e-22
346.72    4.55312e-22
346.73    4.53225e-22
346.74    4.51668e-22
346.75    4.49757e-22
346.76    4.46502e-22
346.77    4.43762e-22
346.78    4.42674e-22
346.79    4.40104e-22
346.80    4.39853e-22
346.81    4.38901e-22
346.82    4.38343e-22
346.83    4.35671e-22
346.84    4.33506e-22
346.85    4.32902e-22
346.86    4.31951e-22
346.87    4.29379e-22
