O3 absorption data from JPL 2006
wl	wu	wc	293-298K	218K
185.185	186.916	186.051	6.220E+01	6.220E+01
186.916	188.679	187.798	5.760E+01	5.760E+01
188.679	190.476	189.578	5.260E+01	5.260E+01
190.476	192.308	191.392	4.770E+01	4.770E+01
192.308	194.175	193.242	4.290E+01	4.290E+01
194.175	196.078	195.127	3.850E+01	3.850E+01
196.078	198.020	197.049	3.490E+01	3.440E+01
198.020	200.000	199.010	3.240E+01	3.200E+01
200.000	202.020	201.010	3.150E+01	3.120E+01
202.020	204.082	203.051	3.260E+01	3.240E+01
204.082	206.186	205.134	3.630E+01	3.620E+01
206.186	208.333	207.260	4.330E+01	4.320E+01
208.333	210.526	209.430	5.390E+01	5.420E+01
210.526	212.766	211.646	6.930E+01	6.960E+01
212.766	215.054	213.910	9.030E+01	9.060E+01
215.054	217.391	216.223	1.180E+02	1.190E+02
217.391	219.780	218.586	1.540E+02	1.550E+02
219.780	222.222	221.001	1.990E+02	2.010E+02
222.222	224.719	223.471	2.550E+02	2.560E+02
224.719	227.273	225.996	3.220E+02	3.230E+02
227.273	229.885	228.579	4.010E+02	4.030E+02
229.885	232.558	231.222	4.900E+02	4.920E+02
232.558	235.294	233.926	5.900E+02	5.890E+02
235.294	238.095	236.695	6.930E+02	6.920E+02
238.095	240.964	239.530	8.020E+02	7.990E+02
240.964	243.902	242.433	9.080E+02	9.050E+02
243.902	246.914	245.408	1.001E+03	9.950E+02
246.914	250.000	248.457	1.080E+03	1.074E+03
250.000	253.165	251.583	1.125E+03	1.116E+03
253.165	256.410	254.788	1.148E+03	1.136E+03
256.410	259.740	258.075	1.122E+03	1.105E+03
259.740	263.158	261.449	1.064E+03	1.047E+03
263.158	266.667	264.913	9.680E+02	9.520E+02
266.667	270.270	268.469	8.400E+02	8.230E+02
270.270	273.973	272.122	6.980E+02	6.810E+02
273.973	277.778	275.876	5.470E+02	5.310E+02
277.778	281.690	279.734	4.060E+02	3.910E+02
281.690	285.714	283.702	2.820E+02	2.710E+02
285.714	289.855	287.785	1.840E+02	1.750E+02
289.855	294.118	291.987	1.130E+02	1.050E+02
294.118	298.507	296.313	6.510E+01	5.940E+01
298.507	299.500	299.004	4.520E+01	4.070E+01
299.500	300.500	300.000	3.920E+01	3.510E+01
300.500	301.500	301.000	3.430E+01	3.050E+01
301.500	302.500	302.000	3.030E+01	2.690E+01
302.500	303.500	303.000	2.620E+01	2.290E+01
303.500	304.500	304.000	2.340E+01	2.060E+01
304.500	305.500	305.000	2.010E+01	1.730E+01
305.500	306.500	306.000	1.790E+01	1.560E+01
306.500	307.500	307.000	1.550E+01	1.330E+01
307.500	308.500	308.000	1.350E+01	1.150E+01
308.500	309.500	309.000	1.220E+01	1.040E+01
309.500	310.500	310.000	1.020E+01	8.500E+00
310.500	311.500	311.000	9.240E+00	7.760E+00
311.500	312.500	312.000	7.950E+00	6.530E+00
312.500	313.500	313.000	6.910E+00	5.620E+00
313.500	314.500	314.000	6.250E+00	5.050E+00
314.500	315.500	315.000	5.190E+00	4.080E+00
315.500	316.500	316.000	4.770E+00	3.820E+00
316.500	317.500	317.000	4.020E+00	3.110E+00
317.500	318.500	318.000	3.720E+00	2.940E+00
318.500	319.500	319.000	2.890E+00	2.110E+00
319.500	320.500	320.000	2.990E+00	2.410E+00
320.500	321.500	321.000	2.100E+00	1.430E+00
321.500	323.500	322.500	2.050E+00	1.570E+00
323.500	325.500	324.500	1.410E+00	1.020E+00
325.500	327.500	326.500	1.010E+00	6.580E-01
327.500	332.500	330.000	6.970E-01	4.830E-01
332.500	337.500	335.000	3.200E-01	2.040E-01
337.500	342.500	340.000	1.460E-01	7.970E-02
342.500	347.500	345.000	7.790E-02	7.790E-02
347.500	352.500	350.000	3.060E-02	3.060E-02
352.500	357.500	355.000	1.360E-02	1.360E-02
357.500	362.500	360.000	6.940E-03	6.940E-03
362.500	367.500	365.000	3.050E-03	3.050E-03
367.500	372.500	370.000	1.300E-03	1.300E-03
372.500	377.500	375.000	8.500E-04	8.500E-04
377.500	382.500	380.000	5.720E-04	5.720E-04
382.500	387.500	385.000	5.420E-04	5.420E-04
387.500	392.500	390.000	6.680E-04	6.680E-04
392.500	397.500	395.000	9.560E-04	9.560E-04
397.500	402.500	400.000	1.150E-03	1.150E-03
402.500	407.500	405.000	1.580E-03	1.580E-03
407.500	412.500	410.000	2.580E-03	2.580E-03
412.500	417.500	415.000	2.950E-03	2.950E-03
417.500	422.500	420.000	3.930E-03	3.930E-03
422.500	427.500	425.000	6.560E-03	6.560E-03
427.500	432.500	430.000	6.970E-03	6.970E-03
432.500	437.500	435.000	8.820E-03	8.820E-03
437.500	442.500	440.000	1.370E-02	1.370E-02
442.500	447.500	445.000	1.650E-02	1.650E-02
447.500	452.500	450.000	1.850E-02	1.850E-02
452.500	457.500	455.000	2.180E-02	2.180E-02
457.500	462.500	460.000	3.660E-02	3.660E-02
462.500	467.500	465.000	3.670E-02	3.670E-02
467.500	472.500	470.000	4.100E-02	4.100E-02
472.500	477.500	475.000	4.810E-02	4.810E-02
477.500	482.500	480.000	7.540E-02	7.540E-02
482.500	487.500	485.000	8.130E-02	8.130E-02
487.500	492.500	490.000	8.160E-02	8.160E-02
492.500	497.500	495.000	9.080E-02	9.080E-02
497.500	502.500	500.000	1.210E-01	1.210E-01
502.500	507.500	505.000	1.600E-01	1.600E-01
507.500	512.500	510.000	1.580E-01	1.580E-01
512.500	517.500	515.000	1.660E-01	1.660E-01
517.500	522.500	520.000	1.830E-01	1.830E-01
522.500	527.500	525.000	2.190E-01	2.190E-01
527.500	532.500	530.000	2.670E-01	2.670E-01
532.500	537.500	535.000	2.870E-01	2.870E-01
537.500	542.500	540.000	2.950E-01	2.950E-01
542.500	547.500	545.000	3.190E-01	3.190E-01
547.500	552.500	550.000	3.370E-01	3.370E-01
552.500	557.500	555.000	3.580E-01	3.580E-01
557.500	562.500	560.000	3.980E-01	3.980E-01
562.500	567.500	565.000	4.390E-01	4.390E-01
567.500	572.500	570.000	4.670E-01	4.670E-01
572.500	577.500	575.000	4.810E-01	4.810E-01
577.500	582.500	580.000	4.640E-01	4.640E-01
582.500	587.500	585.000	4.460E-01	4.460E-01
587.500	592.500	590.000	4.470E-01	4.470E-01
592.500	597.500	595.000	4.760E-01	4.760E-01
597.500	602.500	600.000	5.130E-01	5.130E-01
602.500	607.500	605.000	5.140E-01	5.140E-01
607.500	612.500	610.000	4.780E-01	4.780E-01
612.500	617.500	615.000	4.380E-01	4.380E-01
617.500	622.500	620.000	4.060E-01	4.060E-01
622.500	627.500	625.000	3.820E-01	3.820E-01
627.500	632.500	630.000	3.560E-01	3.560E-01
632.500	637.500	635.000	3.270E-01	3.270E-01
637.500	642.500	640.000	2.970E-01	2.970E-01
642.500	647.500	645.000	2.710E-01	2.710E-01
