Cloud-J v7.5A NEW cloud scattering and absorption:  17:18 bin edge now 485 nm, 18:19 = 778 nm (RRTMG)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
12 0.295  1.5   4.9 1.350 1.8E-08 2.222 1.00000 2.474 3.745 4.302 4.971 5.479 6.026 6.620
12 0.295  3.0  19.5 1.350 1.8E-08 2.132 1.00000 2.547 3.877 4.536 5.226 5.854 6.468 7.247
12 0.295  6.0  78.2 1.350 1.8E-08 2.086 1.00000 2.575 3.935 4.642 5.345 6.040 6.694 7.569
12 0.295 12.0 312.8 1.350 1.8E-08 2.054 0.99999 2.602 3.978 4.721 5.418 6.152 6.821 7.758
12 0.295 24.0 1251. 1.350 1.8E-08 2.033 0.99998 2.621 4.010 4.780 5.477 6.234 6.915 7.891
12 0.295 48.0 5004. 1.350 1.8E-08 2.021 0.99997 2.639 4.048 4.858 5.583 6.378 7.096 8.114

13 0.303  1.5   4.9 1.349 1.5E-08 2.210 1.00000 2.483 3.752 4.316 4.972 5.481 6.013 6.605
13 0.303  3.0  19.5 1.349 1.5E-08 2.140 1.00000 2.532 3.859 4.509 5.211 5.847 6.467 7.238
13 0.303  6.0  78.2 1.349 1.5E-08 2.085 1.00000 2.582 3.943 4.657 5.354 6.053 6.701 7.579
13 0.303 12.0 312.8 1.349 1.5E-08 2.053 0.99999 2.608 3.987 4.737 5.428 6.162 6.825 7.761
13 0.303 24.0 1251. 1.349 1.5E-08 2.034 0.99999 2.622 4.012 4.783 5.477 6.234 6.912 7.884
13 0.303 48.0 5004. 1.349 1.5E-08 2.021 0.99997 2.639 4.046 4.856 5.577 6.371 7.084 8.098

14 0.310  1.5   4.9 1.348 1.4E-08 2.213 1.00000 2.460 3.723 4.272 4.941 5.445 5.981 6.559
14 0.310  3.0  19.5 1.348 1.4E-08 2.141 1.00000 2.537 3.865 4.517 5.207 5.850 6.465 7.238
14 0.310  6.0  78.2 1.348 1.4E-08 2.086 1.00000 2.582 3.943 4.658 5.353 6.052 6.697 7.569
14 0.310 12.0 312.8 1.348 1.4E-08 2.052 0.99999 2.608 3.987 4.737 5.429 6.148 6.807 7.731
14 0.310 24.0 1251. 1.348 1.4E-08 2.034 0.99999 2.623 4.013 4.787 5.479 6.236 6.911 7.879
14 0.310 48.0 5004. 1.348 1.4E-08 2.022 0.99998 2.639 4.048 4.859 5.577 6.371 7.080 8.089

15 0.316  1.5   4.9 1.347 1.3E-08 2.238 1.00000 2.454 3.715 4.266 4.935 5.433 5.966 6.534
15 0.316  3.0  19.5 1.347 1.3E-08 2.141 1.00000 2.539 3.867 4.522 5.212 5.837 6.446 7.205
15 0.316  6.0  78.2 1.347 1.3E-08 2.086 1.00000 2.582 3.944 4.660 5.355 6.053 6.696 7.564
15 0.316 12.0 312.8 1.347 1.3E-08 2.055 0.99999 2.606 3.986 4.736 5.428 6.161 6.821 7.748
15 0.316 24.0 1251. 1.347 1.3E-08 2.035 0.99999 2.623 4.014 4.789 5.481 6.238 6.911 7.877
15 0.316 48.0 5004. 1.347 1.3E-08 2.022 0.99998 2.640 4.048 4.860 5.576 6.369 7.075 8.081

16 0.333  1.5   4.9 1.345 9.5E-09 2.258 1.00000 2.451 3.713 4.254 4.912 5.419 5.941 6.493
16 0.333  3.0  19.5 1.345 9.5E-09 2.148 1.00000 2.531 3.856 4.505 5.195 5.824 6.428 7.178
16 0.333  6.0  78.2 1.345 9.5E-09 2.087 1.00000 2.580 3.941 4.658 5.353 6.052 6.691 7.551
16 0.333 12.0 312.8 1.345 9.5E-09 2.057 1.00000 2.606 3.986 4.740 5.429 6.167 6.822 7.744
16 0.333 24.0 1251. 1.345 9.5E-09 2.036 0.99999 2.623 4.016 4.794 5.483 6.242 6.911 7.870
16 0.333 48.0 5004. 1.345 9.5E-09 2.023 0.99998 2.640 4.048 4.861 5.571 6.363 7.061 8.059

17 0.429  1.5   4.9 1.338 1.8E-09 2.281 1.00000 2.425 3.660 4.170 4.784 5.236 5.682 6.142
17 0.429  3.0  19.5 1.338 1.8E-09 2.167 1.00000 2.533 3.848 4.495 5.150 5.755 6.311 7.003
17 0.429  6.0  78.2 1.338 1.8E-09 2.107 1.00000 2.574 3.933 4.651 5.332 6.027 6.640 7.462
17 0.429 12.0 312.8 1.338 1.8E-09 2.068 1.00000 2.605 3.988 4.750 5.432 6.171 6.807 7.700
17 0.429 24.0 1251. 1.338 1.8E-09 2.042 1.00000 2.625 4.022 4.811 5.492 6.254 6.903 7.838
17 0.429 48.0 5004. 1.338 1.8E-09 2.027 1.00000 2.641 4.050 4.867 5.559 6.346 7.017 7.986

18 0.631  1.5   4.9 1.332 3.8E-08 2.417 1.00000 2.288 3.418 3.769 4.292 4.596 4.946 5.264
18 0.631  3.0  19.5 1.332 3.8E-08 2.237 1.00000 2.472 3.754 4.341 4.991 5.523 6.030 6.590
18 0.631  6.0  78.2 1.332 3.8E-08 2.138 1.00000 2.555 3.899 4.595 5.264 5.927 6.507 7.254
18 0.631 12.0 312.8 1.332 3.8E-08 2.087 0.99999 2.595 3.974 4.730 5.406 6.138 6.753 7.601
18 0.631 24.0 1251. 1.332 3.8E-08 2.055 0.99998 2.621 4.018 4.810 5.485 6.246 6.879 7.782
18 0.631 48.0 5004. 1.332 3.8E-08 2.035 0.99997 2.638 4.047 4.865 5.544 6.324 6.972 7.910

19 0.973  1.5   4.9 1.328 2.8E-06 2.755 0.99996 2.346 3.352 3.652 3.874 3.907 3.899 3.867
19 0.973  3.0  19.5 1.328 2.8E-06 2.336 0.99989 2.377 3.592 4.065 4.692 5.109 5.563 5.943
19 0.973  6.0  78.2 1.328 2.8E-06 2.203 0.99979 2.510 3.824 4.464 5.128 5.723 6.266 6.891
19 0.973 12.0 312.8 1.328 2.8E-06 2.119 0.99957 2.573 3.937 4.668 5.339 6.044 6.636 7.423
19 0.973 24.0 1251. 1.328 2.8E-06 2.075 0.99921 2.609 4.000 4.783 5.457 6.212 6.831 7.699
19 0.973 48.0 5004. 1.328 2.8E-06 2.047 0.99847 2.633 4.039 4.855 5.529 6.303 6.938 7.848

20 1.270  1.5   4.9 1.324 1.2E-05 3.151 0.99988 2.452 3.481 3.878 4.037 3.970 3.769 3.524
20 1.270  3.0  19.5 1.324 1.2E-05 2.381 0.99967 2.328 3.452 3.826 4.302 4.603 4.929 5.206
20 1.270  6.0  78.2 1.324 1.2E-05 2.234 0.99922 2.482 3.771 4.377 5.013 5.558 6.051 6.594
20 1.270 12.0 312.8 1.324 1.2E-05 2.145 0.99856 2.555 3.907 4.618 5.292 5.961 6.536 7.261
20 1.270 24.0 1251. 1.324 1.2E-05 2.088 0.99748 2.604 3.993 4.774 5.447 6.189 6.796 7.630
20 1.270 48.0 5004. 1.324 1.2E-05 2.055 0.99522 2.632 4.040 4.861 5.537 6.312 6.941 7.832

21 1.448  1.5   4.9 1.321 1.6E-04 3.232 0.99863 2.493 3.528 3.949 4.072 3.944 3.654 3.308
21 1.448  3.0  19.5 1.321 1.6E-04 2.450 0.99626 2.319 3.394 3.726 4.107 4.322 4.552 4.743
21 1.448  6.0  78.2 1.321 1.6E-04 2.256 0.99214 2.470 3.747 4.343 4.973 5.503 5.980 6.483
21 1.448 12.0 312.8 1.321 1.6E-04 2.155 0.98514 2.561 3.912 4.635 5.305 5.984 6.555 7.271
21 1.448 24.0 1251. 1.321 1.6E-04 2.097 0.97196 2.616 4.011 4.820 5.520 6.285 6.919 7.760
21 1.448 48.0 5004. 1.321 1.6E-04 2.061 0.94747 2.657 4.081 4.962 5.698 6.524 7.221 8.149

22 1.768  1.5   4.9 1.313 3.3E-04 3.055 0.99760 2.528 3.536 3.924 3.943 3.681 3.248 2.762
22 1.768  3.0  19.5 1.313 3.3E-04 2.669 0.99429 2.369 3.410 3.760 4.016 4.101 4.149 4.163
22 1.768  6.0  78.2 1.313 3.3E-04 2.288 0.98692 2.441 3.692 4.256 4.861 5.342 5.786 6.212
22 1.768 12.0 312.8 1.313 3.3E-04 2.178 0.97495 2.559 3.904 4.633 5.300 5.961 6.513 7.175
22 1.768 24.0 1251. 1.313 3.3E-04 2.111 0.95369 2.624 4.024 4.861 5.576 6.356 6.998 7.820
22 1.768 48.0 5004. 1.313 3.3E-04 2.069 0.91501 2.676 4.117 5.050 5.828 6.694 7.431 8.369

23 2.040  1.5   4.9 1.302 9.1E-04 2.672 0.99357 2.534 3.492 3.803 3.705 3.320 2.790 2.234
23 2.040  3.0  19.5 1.302 9.1E-04 2.919 0.98778 2.459 3.532 3.982 4.219 4.261 4.199 4.082
23 2.040  6.0  78.2 1.302 9.1E-04 2.320 0.96970 2.425 3.644 4.189 4.753 5.206 5.628 6.002
