FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
Bkgd220K50  0.1308  0.0245  1.4572   220.0    50.0
 5  0.2020  1.4740 0.0E+00 2.88260 1.00000 2.156 2.712 2.533 2.271 1.857 1.492 1.182
 6  0.2080  1.4740 0.0E+00 2.84607 1.00000 2.155 2.698 2.510 2.233 1.813 1.446 1.134
 7  0.2110  1.4740 0.0E+00 2.82694 1.00000 2.155 2.691 2.499 2.215 1.792 1.424 1.113
 8  0.2140  1.4740 0.0E+00 2.80778 1.00000 2.154 2.684 2.488 2.197 1.772 1.403 1.093
 9  0.2620  1.4410 0.0E+00 2.28269 1.00000 2.181 2.639 2.393 2.010 1.547 1.161 0.857
10  0.2670  1.4380 0.0E+00 2.22223 1.00000 2.181 2.629 2.374 1.983 1.518 1.132 0.830
11  0.2770  1.4340 0.0E+00 2.11566 1.00000 2.177 2.604 2.332 1.926 1.456 1.071 0.774
12  0.2950  1.4260 0.0E+00 1.92979 1.00000 2.169 2.562 2.262 1.832 1.356 0.976 0.689
13  0.3030  1.4230 0.0E+00 1.84736 1.00000 2.165 2.541 2.227 1.787 1.310 0.935 0.653
14  0.3100  1.4230 0.0E+00 1.79572 1.00000 2.157 2.518 2.191 1.746 1.270 0.899 0.623
15  0.3160  1.4250 0.0E+00 1.75984 1.00000 2.147 2.491 2.152 1.702 1.228 0.863 0.595
16  0.3330  1.4230 0.0E+00 1.63282 1.00000 2.131 2.442 2.078 1.617 1.147 0.795 0.541
17  0.4290  1.4120 0.0E+00 1.07385 1.00000 2.028 2.171 1.700 1.218 0.800 0.524 0.338
18  0.6310  1.4030 2.3E-08 0.49566 1.00000 1.747 1.663 1.081 0.654 0.364 0.203 0.107
19  0.9730  1.3960 1.9E-06 0.16969 0.99997 1.297 1.125 0.538 0.241 0.097 0.040 0.016
20  1.2700  1.3900 1.0E-05 0.07890 0.99971 0.998 0.874 0.323 0.113 0.036 0.013 0.004
21  1.4480  1.3930 1.2E-04 0.05430 0.99576 0.861 0.779 0.249 0.075 0.021 0.007 0.002
22  1.7670  1.3850 3.6E-04 0.02737 0.97950 0.663 0.670 0.169 0.040 0.009 0.003 0.001
23  2.0390  1.3720 1.0E-03 0.01729 0.91684 0.534 0.614 0.127 0.025 0.005 0.001 0.000
24  2.3090  1.3490 1.8E-03 0.01028 0.80934 0.435 0.577 0.101 0.016 0.003 0.001 0.000
25  2.7480  1.2720 7.8E-02 0.05993 0.03968 0.309 0.542 0.071 0.009 0.001 0.000 0.000
26  3.4040  1.3830 1.5E-01 0.08518 0.02592 0.226 0.521 0.047 0.004 0.000 0.000 0.000
27  5.3620  1.3710 1.8E-01 0.06310 0.00620 0.098 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd250K50  0.1308  0.0245  1.4308   250.0    50.0
 5  0.2020  1.4670 0.0E+00 2.86061 1.00000 2.169 2.735 2.568 2.303 1.888 1.517 1.202
 6  0.2080  1.4670 0.0E+00 2.82288 1.00000 2.168 2.720 2.543 2.265 1.844 1.471 1.155
 7  0.2110  1.4670 0.0E+00 2.80315 1.00000 2.168 2.713 2.531 2.246 1.823 1.448 1.134
 8  0.2140  1.4670 0.0E+00 2.78396 1.00000 2.167 2.706 2.520 2.227 1.802 1.427 1.114
 9  0.2620  1.4340 0.0E+00 2.24540 1.00000 2.192 2.657 2.418 2.034 1.570 1.178 0.869
10  0.2670  1.4310 0.0E+00 2.18484 1.00000 2.192 2.647 2.400 2.008 1.539 1.147 0.841
11  0.2770  1.4270 0.0E+00 2.07860 1.00000 2.187 2.623 2.357 1.949 1.476 1.087 0.785
12  0.2950  1.4190 0.0E+00 1.89237 1.00000 2.179 2.581 2.286 1.855 1.377 0.992 0.700
13  0.3030  1.4160 0.0E+00 1.81027 1.00000 2.174 2.559 2.251 1.810 1.330 0.950 0.665
14  0.3100  1.4160 0.0E+00 1.75980 1.00000 2.167 2.536 2.215 1.770 1.290 0.915 0.635
15  0.3160  1.4190 0.0E+00 1.72888 1.00000 2.155 2.506 2.173 1.721 1.245 0.877 0.605
16  0.3330  1.4160 0.0E+00 1.59844 1.00000 2.141 2.459 2.101 1.639 1.167 0.810 0.552
17  0.4290  1.4050 0.0E+00 1.04646 1.00000 2.035 2.184 1.716 1.234 0.814 0.533 0.345
18  0.6310  1.3960 2.3E-08 0.48095 1.00000 1.749 1.670 1.088 0.661 0.367 0.206 0.109
19  0.9730  1.3890 1.9E-06 0.16361 0.99997 1.296 1.126 0.540 0.242 0.098 0.041 0.016
20  1.2700  1.3820 1.0E-05 0.07601 0.99970 0.996 0.874 0.324 0.113 0.037 0.013 0.005
21  1.4480  1.3790 1.2E-04 0.05013 0.99543 0.856 0.778 0.250 0.075 0.021 0.007 0.002
22  1.7670  1.3700 3.6E-04 0.02571 0.97777 0.658 0.668 0.169 0.040 0.010 0.003 0.001
23  2.0390  1.3580 1.0E-03 0.01591 0.91050 0.530 0.613 0.127 0.025 0.005 0.001 0.000
24  2.3090  1.3350 1.8E-03 0.01003 0.79578 0.432 0.577 0.101 0.016 0.003 0.001 0.000
25  2.7480  1.2620 7.8E-02 0.05983 0.03722 0.307 0.541 0.071 0.009 0.001 0.000 0.000
26  3.4040  1.3700 1.4E-01 0.08193 0.02523 0.224 0.521 0.048 0.004 0.000 0.000 0.000
27  5.3620  1.3580 1.7E-01 0.06096 0.00604 0.098 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd280K50  0.1308  0.0245  1.4056   280.0    50.0
 5  0.2020  1.4600 0.0E+00 2.83907 1.00000 2.183 2.758 2.601 2.336 1.920 1.543 1.226
 6  0.2080  1.4600 0.0E+00 2.79884 1.00000 2.182 2.743 2.577 2.297 1.875 1.496 1.178
 7  0.2110  1.4600 0.0E+00 2.77808 1.00000 2.181 2.735 2.565 2.278 1.853 1.473 1.156
 8  0.2140  1.4600 0.0E+00 2.75808 1.00000 2.180 2.728 2.552 2.259 1.831 1.451 1.134
 9  0.2620  1.4270 0.0E+00 2.20793 1.00000 2.202 2.676 2.444 2.059 1.592 1.195 0.882
10  0.2670  1.4240 0.0E+00 2.14660 1.00000 2.201 2.665 2.425 2.032 1.560 1.164 0.853
11  0.2770  1.4200 0.0E+00 2.04066 1.00000 2.197 2.640 2.381 1.973 1.496 1.102 0.796
12  0.2950  1.4120 0.0E+00 1.85413 1.00000 2.189 2.599 2.311 1.880 1.398 1.008 0.713
13  0.3030  1.4090 0.0E+00 1.77235 1.00000 2.184 2.577 2.275 1.835 1.352 0.967 0.678
14  0.3100  1.4090 0.0E+00 1.72206 1.00000 2.176 2.553 2.240 1.793 1.312 0.932 0.648
15  0.3160  1.4120 0.0E+00 1.69224 1.00000 2.165 2.524 2.197 1.745 1.267 0.893 0.618
16  0.3330  1.4100 0.0E+00 1.56796 1.00000 2.150 2.474 2.122 1.658 1.185 0.825 0.564
17  0.4290  1.3980 0.0E+00 1.01901 1.00000 2.041 2.198 1.732 1.249 0.826 0.542 0.351
